8.5363	11.16	40416.5077105263	120475.413077485	26982.3124725877	57358.3324944627	266473.211913492	2495920.33907812	671115.945911638	225843.495085567	16442.6519072746	16442.6519072746	0
8.5363	11.2	41266.8792828947	122197.249453947	27083.4167321515	58810.5862967562	260946.716084808	2995104.40689374	671531.727686558	271012.194102681	16071.7179407467	16071.7179407467	0
8.5979	11.23	42117.2508552631	123919.085830409	27184.5209917154	60262.8400990497	255420.220256124	3494288.47470936	671947.509461478	316180.893119794	15700.7839742188	15700.7839742188	0
8.1884	11.27	42967.6224276316	125640.922206871	27285.6252512792	61715.0939013432	249893.72442744	3993472.54252499	672363.291236398	361349.592136907	15329.8500076908	15329.8500076908	0
8.4531	11.31	43817.994	127362.758583333	27386.7295108431	63167.3477036367	244367.228598757	4492656.61034061	672779.073011318	406518.291154021	14958.9160411629	14958.9160411629	0
8.7524	11.34	44668.3655723684	129084.594959795	27487.8337704069	64619.6015059302	238840.732770073	4991840.67815623	673194.854786238	451686.990171134	14587.982074635	14587.982074635	0
9.3897	11.38	45518.7371447368	130806.431336257	27588.9380299707	66071.8553082237	233314.236941389	5491024.74597185	673610.636561158	496855.689188248	14217.0481081071	14217.0481081071	0
9.6237	11.42	46369.1087171052	132528.267712719	27690.0422895346	67524.1091105172	227787.741112705	5990208.81378748	674026.418336079	542024.388205361	13846.1141415792	13846.1141415792	0
9.5237	11.45	47219.4802894737	134250.104089181	27791.1465490984	68976.3629128107	222261.245284022	6489392.8816031	674442.200110999	587193.087222475	13475.1801750512	13475.1801750512	0
9.9452	11.49	48069.8518618421	135971.940465643	27892.2508086623	70428.6167151042	216734.749455338	6988576.94941872	674857.981885919	632361.786239588	13104.2462085233	13104.2462085233	0
9.4486	11.53	48920.2234342105	137693.776842105	27993.3550682261	71880.8705173977	211208.253626654	7487761.01723435	675273.763660839	677530.485256701	12733.3122419954	12733.3122419954	0
9.6988	11.56	49770.5950065789	139415.613218567	28094.4593277899	73333.1243196912	205681.75779797	7986945.08504997	675689.545435759	722699.184273815	12362.3782754675	12362.3782754675	0
10.44	12	50620.9665789473	141137.449595029	28195.5635873538	74785.3781219847	200155.261969286	8486129.15286559	676105.327210679	767867.883290928	11991.4443089396	11991.4443089396	0
10.336	12.04	51471.3381513158	142859.285971491	28296.6678469176	76237.6319242782	194628.766140603	8985313.22068122	676521.1089856	813036.582308042	11620.5103424116	11620.5103424116	0
10.082	12.07	52321.7097236842	144581.122347953	28397.7721064815	77689.8857265717	189102.270311919	9484497.28849684	676936.89076052	858205.281325155	11249.5763758837	11249.5763758837	0
9.9205	12.11	53172.0812960526	146302.958724415	28498.8763660453	79142.1395288652	183575.774483235	9983681.35631246	677352.67253544	903373.980342269	10878.6424093558	10878.6424093558	0
9.8729	12.15	54022.452868421	148024.795100877	28599.9806256091	80594.3933311587	178049.278654551	10482865.4241281	677768.45431036	948542.679359382	10507.7084428279	10507.7084428279	0
10.204	12.18	54872.8244407894	149746.631477339	28701.084885173	82046.6471334522	172522.782825868	10982049.4919437	678184.23608528	993711.378376496	10136.7744763	10136.7744763	0
10.762	12.22	55723.1960131579	151468.467853801	28802.1891447368	83498.9009357457	166996.286997184	11481233.5597593	678600.0178602	1038880.07739361	9765.84050977205	9765.84050977205	0
11.044	12.26	55606.139368421	150166.941368776	28060.9303517632	82117.3622026981	161469.7911685	11980417.627575	679015.79963512	1084048.77641072	9394.90654324415	9394.90654324415	0
11.337	12.29	55489.0827236842	148865.41488375	27319.6715587896	80735.8234696505	155943.295339816	12479601.6953906	679431.581410041	1129217.47542784	9023.9725767162	9023.9725767162	0
11.592	12.33	55372.0260789473	147563.888398724	26578.412765816	79354.2847366029	150416.799511132	12978785.7632062	679847.363184961	1174386.17444495	8653.0386101883	8653.0386101883	0
11.674	12.37	55254.9694342105	146262.361913699	25837.1539728424	77972.7460035554	144890.303682449	13477969.8310218	680263.144959881	1219554.87346206	8282.1046436604	8282.1046436604	0
11.81	12.4	55137.9127894737	144960.835428673	25095.8951798688	76591.2072705078	139363.807853765	13977153.8988374	680678.926734801	1264723.57247918	7911.17067713245	7911.17067713245	0
12.048	12.44	55020.8561447368	143659.308943647	24354.6363868952	75209.6685374602	133837.312025081	14476337.9666531	681094.708509721	1309892.27149629	7540.23671060455	7540.23671060455	0
12.126	12.48	54903.7995	142357.782458621	23613.3775939217	73828.1298044126	128310.816196397	14975522.0344687	681510.490284641	1355060.9705134	7169.3027440766	7169.3027440766	0
12.119	12.51	54786.7428552631	141056.255973596	22872.1188009481	72446.591071365	122784.320367714	15474706.1022843	681926.272059562	1400229.66953052	6798.3687775487	6798.3687775487	0
11.636	12.55	54669.6862105263	139754.72948857	22130.8600079745	71065.0523383174	117257.82453903	15973890.1700999	682342.053834482	1445398.36854763	6427.4348110208	6427.4348110208	0
11.121	12.59	54552.6295657895	138453.203003544	21389.6012150009	69683.5136052699	111731.328710346	16473074.2379156	682757.835609402	1490567.06756474	6056.50084449285	6056.50084449285	0
11.357	13.02	54435.5729210526	137151.676518519	20648.3424220273	68301.9748722223	106204.832881662	16972258.3057312	683173.617384322	1535735.76658186	5685.56687796495	5685.56687796495	0
11.786	13.06	54318.5162763158	135850.150033493	19907.0836290537	66920.4361391747	100678.337052978	17471442.3735468	683589.399159242	1580904.46559897	5314.63291143705	5314.63291143705	0
11.656	13.09	54201.4596315789	134548.623548467	19165.8248360801	65538.8974061271	95151.8412242947	17970626.4413624	684005.180934162	1626073.16461608	4943.69894490911	4943.69894490911	0
