7.848	11.10	23065.63288	23825.16789	15747.20653	44791.54598	69337.64473	1369960.86806061	610784.3446	8000450.73813635	3728.96243	3728.96243
7.848	11.13	23065.63288	23825.16789	15747.20653	44791.54598	69337.64473	1369960.86806061	610784.3446	8000450.73813635	3728.96243	3728.96243
7.656	11.17	23065.63288	23825.16789	15747.20653	44791.54598	69337.64473	1369960.86806061	610784.3446	8000450.73813635	3728.96243	3728.96243
7.809	11.21	23065.63288	23825.16789	15747.20653	44791.54598	69337.64473	1369960.86806061	610784.3446	8000450.73813635	3728.96243	3728.96243
7.811	11.24	23365.32742	25082.07488	15678.23726	45611.68285	69337.64473	1369960.86806061	610784.3446	8000450.73813635	3728.96243	3728.96243
7.78	11.28	23665.02195	26338.98186	15609.26799	46431.81972	69337.64473	1369960.86806061	610784.3446	8000450.73813635	3728.96243	3728.96243
8.12	11.32	23964.71648	27595.88885	15540.29872	47251.9566	69337.64473	1369960.86806061	610784.3446	8000450.73813635	3728.96243	3728.96243
9.025	11.35	24264.41101	28852.79583	15471.32945	48072.09347	69337.64473	1369960.86806061	610784.3446	8000450.73813635	3728.96243	3728.96243
8.843	11.39	24564.10554	30109.70282	15402.36019	48892.23035	69337.64473	1369960.86806061	610784.3446	8000450.73813635	3728.96243	3728.96243
9.415	11.43	24863.80008	31366.6098	15333.39092	49712.36722	69337.64473	1369960.86806061	610784.3446	8000450.73813635	3728.96243	3728.96243
9.403	11.46	25163.49461	32623.51678	15264.42165	50532.5041	69337.64473	1369960.86806061	610784.3446	8000450.73813635	3728.96243	3728.96243
9.688	11.50	25463.18914	33880.42377	15195.45238	51352.64097	69337.64473	1369960.86806061	610784.3446	8000450.73813635	3728.96243	3728.96243
9.837	11.54	25762.88367	35137.33075	15126.48311	52172.77785	69337.64473	1369960.86806061	610784.3446	8000450.73813635	3728.96243	3728.96243
10.01	11.57	26062.5782	36394.23774	15057.51384	52992.91472	69337.64473	1369960.86806061	610784.3446	8000450.73813635	3728.96243	3728.96243
10.37	12.01	26362.27274	37651.14472	14988.54457	53813.05159	69337.64473	1369960.86806061	610784.3446	8000450.73813635	3728.96243	3728.96243
9.784	12.05	26661.96727	38908.05171	14919.57531	54633.18847	69337.64473	1369960.86806061	610784.3446	8000450.73813635	3728.96243	3728.96243
9.964	12.08	26961.6618	40164.9586899999	14850.60604	55453.32534	69337.64473	1369960.86806061	610784.3446	8000450.73813635	3728.96243	3728.96243
9.722	12.12	27261.35633	41421.86568	14781.63677	56273.46222	69337.64473	1369960.86806061	610784.3446	8000450.73813635	3728.96243	3728.96243
9.696	12.16	27561.05086	42678.77266	14712.6675	57093.59909	69337.64473	1369960.86806061	610784.3446	8000450.73813635	3728.96243	3728.96243
9.993	12.19	27860.7454	43935.67964	14643.69823	57913.73597	69337.64473	1369960.86806061	610784.3446	8000450.73813635	3728.96243	3728.96243
10.11	12.23	28160.43993	45192.58663	14574.72896	58733.87284	69337.64473	1369960.86806061	610784.3446	8000450.73813635	3728.96243	3728.96243
10.54	12.27	28460.13446	46449.49361	14505.75969	59554.00972	69337.64473	1369960.86806061	610784.3446	8000450.73813635	3728.96243	3728.96243
10.98	12.30	28759.82899	47706.4006	14436.79043	60374.14659	69337.64473	1369960.86806061	610784.3446	8000450.73813635	3728.96243	3728.96243
11.38	12.34	29059.52352	48963.30758	14367.82116	61194.28346	69337.64473	1369960.86806061	610784.3446	8000450.73813635	3728.96243	3728.96243
11.64	12.38	29359.21806	50220.21457	14298.85189	62014.42034	69337.64473	1369960.86806061	610784.3446	8000450.73813635	3728.96243	3728.96243
11.48	12.41	29658.91259	51477.12155	14229.88262	62834.5572099999	69337.64473	1369960.86806061	610784.3446	8000450.73813635	3728.96243	3728.96243
11.39	12.45	29958.60712	52734.02853	14160.91335	63654.69409	69337.64473	1369960.86806061	610784.3446	8000450.73813635	3728.96243	3728.96243
11.33	12.49	30258.30165	53990.93552	14091.94408	64474.83096	69337.64473	1369960.86806061	610784.3446	8000450.73813635	3728.96243	3728.96243
11.37	12.52	30557.99618	55247.8425	14022.97482	65294.96784	69337.64473	1369960.86806061	610784.3446	8000450.73813635	3728.96243	3728.96243
11.65	12.56	30857.69072	56504.74949	13954.00555	66115.10471	69337.64473	1369960.86806061	610784.3446	8000450.73813635	3728.96243	3728.96243
12.14	12.59	31157.38525	57761.65647	13885.03628	66935.24159	69337.64473	1369960.86806061	610784.3446	8000450.73813635	3728.96243	3728.96243
12.49	13.03	31457.07978	59018.56346	13816.06701	67755.37846	69337.64473	1369960.86806061	610784.3446	8000450.73813635	3728.96243	3728.96243
12.23	13.07	31756.77431	60275.47044	13747.09774	68575.51533	69337.64473	1369960.86806061	610784.3446	8000450.73813635	3728.96243	3728.96243
12.08	13.10	32256.93194	67490.18741	13634.18508	67821.69028	69337.64473	1369960.86806061	610784.3446	8000450.73813635	3728.96243	3728.96243
11.96	13.14	32757.08957	74704.90439	13521.27242	67067.86524	69337.64473	1369960.86806061	610784.3446	8000450.73813635	3728.96243	3728.96243
13.23	13.18	33257.2472	81919.62136	13408.35975	66314.04019	69337.64473	1369960.86806061	610784.3446	8000450.73813635	3728.96243	3728.96243
14.1	13.21	33757.40483	89134.33833	13295.44709	65560.21514	69337.64473	1369960.86806061	610784.3446	8000450.73813635	3728.96243	3728.96243
14.04	13.25	34257.56246	96349.0553	13182.5344299999	64806.39009	69337.64473	1369960.86806061	610784.3446	8000450.73813635	3728.96243	3728.96243
